Name | Role | Department | Email | Password
----------------------------------------------------------
System Admin | admin | All | admin@hrflow.com | AdminPass123!
Marketing Manager | manager | Marketing | marketing.mgr@hrflow.com | MgrPass123!
Finance Manager | manager | Finance | finance.mgr@hrflow.com | MgrPass123!
HR Manager | manager | HR | hr.mgr@hrflow.com | MgrPass123!
Engineering Manager | manager | Engineering | engineering.mgr@hrflow.com | MgrPass123!
Marketing Emp1 | employee | Marketing | marketing.emp1@hrflow.com | EmpPass123!
Marketing Emp2 | employee | Marketing | marketing.emp2@hrflow.com | EmpPass123!
Finance Emp1 | employee | Finance | finance.emp1@hrflow.com | EmpPass123!
Finance Emp2 | employee | Finance | finance.emp2@hrflow.com | EmpPass123!
HR Emp1 | employee | HR | hr.emp1@hrflow.com | EmpPass123!
HR Emp2 | employee | HR | hr.emp2@hrflow.com | EmpPass123!
Engineering Emp1 | employee | Engineering | engineering.emp1@hrflow.com | EmpPass123!
Engineering Emp2 | employee | Engineering | engineering.emp2@hrflow.com | EmpPass123!
Sales Emp1 | employee | Sales | sales.emp1@hrflow.com | EmpPass123!
